country,dish,link,image,main_ingredients
Czech Republic,pork,/wiki/Pork,,
Czech Republic,dumplings,/wiki/Dumpling,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/FriedDumplings.JPG/250px-FriedDumplings.JPG,"Flour, potatoes or bread"
Czech Republic,sauerkraut,/wiki/Sauerkraut,,
Czech Republic,Svíčková,/wiki/Sv%C3%AD%C4%8Dkov%C3%A1,,
Democratic Republic of the Congo,Poulet Moambé,/wiki/Moambe,,Palm nuts
Denmark,Frikadeller,/wiki/Frikadeller,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Frikadeller.jpg/300px-Frikadeller.jpg,"Pork, veal, beef or fish"
Denmark,Wienerbrød,/wiki/Wienerbr%C3%B8d,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Danish_pastry.JPG/250px-Danish_pastry.JPG,"Flour, yeast, milk, eggs, butter"
Denmark,Smørrebrød,/wiki/Sm%C3%B8rrebr%C3%B8d,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Ida_Davidsen_udsnit_af_glasmontren.JPG/250px-Ida_Davidsen_udsnit_af_glasmontren.JPG,"Rugbrød, butter, pålæg (cold cuts, pieces of meat or fish, cheese or spreads)"
Dominica,Mountain chicken,/wiki/Mountain_chicken,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Leptodactylus_fallax_%281%29.jpg/220px-Leptodactylus_fallax_%281%29.jpg,
Dominica,broth,/wiki/Broth,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Broth.jpg/250px-Broth.jpg,"Water of flavoured stock; any of bones, meat, fish, cereal grains, or vegetables"
Ecuador,Encebollado,/wiki/Encebollado,,"Fish (albacore or other tuna or billfish), pickled cassava, red onions"
Ecuador,Fritada,/wiki/Fritada,,
Ecuador,Guatitas,/wiki/Guatitas,,Tripe
Egypt,Ful medames,/wiki/Ful_medames,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ful.jpg/250px-Ful.jpg,"Fava beans, vegetable oil, cumin"
Egypt,kushari,/wiki/Kushari,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Cairo_koshary.jpg/250px-Cairo_koshary.jpg,
Egypt,molokhia,/wiki/Molokhia,,
